Loc;Lineage_Name;parasiteGenus;order;family;species;Host_Status;biomes;Location ID
-0.083333__-78.133333;TROAED15;Haemoproteus;Trochiliformes;Trochilidae;Phaethornis_syrmatophorus;R;Andinean_Forest;137
-0.083333__-78.133333;PHASYR02;Plasmodium;Trochiliformes;Trochilidae;Phaethornis_striigularis;R;Andinean_Forest;137
-0.083333__-78.133333;PHASYR01;Haemoproteus;Trochiliformes;Trochilidae;Phaethornis_striigularis;R;Andinean_Forest;137
-0.083333__-78.133333;TROAED15;Haemoproteus;Trochiliformes;Trochilidae;Phaethornis_yaruqui;R;Andinean_Forest;137
-0.083333__-78.133333;TROAED15;Haemoproteus;Trochiliformes;Trochilidae;Phaethornis_syrmatophorus;R;Andinean_Forest;137
-0.083333__-78.133333;PHASYR02;Plasmodium;Trochiliformes;Trochilidae;Phaethornis_syrmatophorus;R;Andinean_Forest;137
-0.083333__-78.133333;TROAED15;Haemoproteus;Trochiliformes;Trochilidae;Phaethornis_syrmatophorus;R;Andinean_Forest;137
-0.083333__-78.133333;TROAED15;Haemoproteus;Trochiliformes;Trochilidae;Phaethornis_striigularis;R;Andinean_Forest;137
-0.083333__-78.133333;PHASYR01;Haemoproteus;Trochiliformes;Trochilidae;Phaethornis_syrmatophorus;R;Andinean_Forest;137
-0.083333__-78.133333;TROAED15;Haemoproteus;Trochiliformes;Trochilidae;Phaethornis_striigularis;R;Andinean_Forest;137
-0.083333__-78.133333;TROAED15;Haemoproteus;Trochiliformes;Trochilidae;Phaethornis_syrmatophorus;R;Andinean_Forest;137
-0.4__-64.8;CHLIND01;Parahaemoproteus;Coraciiformes;Alcedinidae;Chloroceryle_inda;R;Amazonia;64
-0.4__-64.8;MONNIG01;Plasmodium;Piciformes;Ramphastidae;Ramphastos_tucanus;R;Amazonia;64
-0.4__-64.8;MYRMAX01;Plasmodium;Passeriformes;Thamnophilidae;Myrmotherula_axillaris;R;Amazonia;64
-0.4__-64.8;LEPCOR04;Plasmodium;Passeriformes;Pipridae;Pipra_erythrocephala;R;Amazonia;64
-0.4__-64.8;GALALB01;Plasmodium;Piciformes;Galbulidae;Galbula_albirostris;R;Amazonia;64
-0.4__-64.8;ISLGUT02;Plasmodium;Passeriformes;Thamnophilidae;Myrmotherula_guttata;R;Amazonia;64
-0.4__-64.8;ISLGUT01;Plasmodium;Passeriformes;Thamnophilidae;Myrmotherula_guttata;R;Amazonia;64
-0.4__-64.8;FORCOL02;Plasmodium;Passeriformes;Formicariidae;Formicarius_colma;R;Amazonia;64
-0.4__-64.8;LEPCOR04;Plasmodium;Passeriformes;Pipridae;Lepidothrix_coronata;R;Amazonia;64
-0.4__-64.8;XIPPAR01;Plasmodium;Passeriformes;Dendrocolaptidae;Xiphorhynchus_pardalotus;R;Amazonia;64
-0.4__-64.8;FORCOL04;Plasmodium;Passeriformes;Formicariidae;Formicarius_colma;R;Amazonia;64
-0.4__-64.8;FORCOL03;Plasmodium;Passeriformes;Formicariidae;Formicarius_colma;R;Amazonia;64
-0.4__-64.8;DIXPIP01;Plasmodium;Passeriformes;Pipridae;Pipra_pipra;R;Amazonia;64
-0.583333__-64.916667;CYCYA01;Plasmodium;Passeriformes;Polioptilidae;Microbates_collaris;R;Amazonia;25
-0.583333__-64.916667;AUTINF02;Plasmodium;Passeriformes;Furnariidae;Automolus_infuscatus;R;Amazonia;25
-0.583333__-64.916667;COLPAS04;Haemoproteus;Passeriformes;Furnariidae;Automolus_infuscatus;R;Amazonia;25
