species;Host_Status;biomes;normalised.degree;weighted.betweenness;weighted.closeness
Adelomyia_melanogenys;R;Andinean_Forest;0,142857142857143;0;0,0165675667332906
Amblycercus_holosericeus;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Ammodramus_humeralis;R;Caatinga;0,25;0,137236962488564;0,0252206580116987
Ammodramus_humeralis;R;Cerrado;0,238095238095238;0;0,00909734974987835
Anisognathus_somptuosus;R;Andinean_Forest;0,0714285714285714;0;0,00731710434382509
Aratinga_aurea;R;Cerrado;0,0476190476190476;0;0,00209180379097701
Arremon_taciturnus;R;Amazonia;0,0588235294117647;0;0,00672117626985843
Arremon_taciturnus;R;Mata_Atlantica;0,0588235294117647;0;0,00756256942688529
Atlapetes_albinucha;R;Andinean_Forest;0,0714285714285714;0;0,0116472263664723
Attila_spadiceus;R;Amazonia;0,0588235294117647;0;0,00378698566310344
Automolus_infuscatus;R;Amazonia;0,0588235294117647;0;0,00378698566310344
Automolus_rufipileatus;R;Amazonia;0,0588235294117647;0;0,00562919209669088
Basileuterus_coronatus;R;Andinean_Forest;0,142857142857143;0,131378802747792;0,0172464000963991
Basileuterus_culicivorus;R;Cerrado;0,0952380952380952;0;0,00733848947375681
Basileuterus_culicivorus;R;Mata_Atlantica;0,0588235294117647;0;0,0125666323901447
Basileuterus_flaveolus;R;Caatinga;0,0833333333333333;0;0,012963420659493
Basileuterus_flaveolus;R;Cerrado;0,238095238095238;0,0972011465182937;0,0126895182120087
Basileuterus_trifasciatus;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Basileuterus_tristriatus;R;Andinean_Forest;0,0714285714285714;0;0,00670753806210536
Boissonneaua_matthewsii;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Bucco_tamatia;R;Amazonia;0,0588235294117647;0;0,00371186906748001
Cacicus_solitarius;R;Mata_Atlantica;0,0588235294117647;0;0,00756256942688529
Camptostoma_obsoletum;R;Caatinga;0,0833333333333333;0;NA
Camptostoma_obsoletum;R;Cerrado;0,0476190476190476;0;0,00386337634377152
Campylorhamphus_trochilirostris;R;Cerrado;0,0476190476190476;0;0,00386337634377152
Campylorhynchus_fasciatus;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Capsiempis_flaveola;R;Cerrado;0,0476190476190476;0;0,00288062748523458
Casiornis_fuscus;PM;Caatinga;0,0833333333333333;0;0,0279632382277239
Casiornis_fuscus;PM;Cerrado;0,0476190476190476;0;0,00410734916057752
Celeus_flavescens;R;Cerrado;0,0476190476190476;0;0,00214680560796043
Chiroxiphia_pareola;R;Amazonia;0,0588235294117647;0;0,00583297320896227
Chiroxiphia_pareola;R;Mata_Atlantica;0,0588235294117647;0;0,00551630824574397
Chlorophanes_spiza;R;Andinean_Forest;0,0714285714285714;0;0,00670753806210536
Cinnycerthia_unirufa;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Cnemotriccus_fuscatus;R;Amazonia;0,0588235294117647;0;0,00338283977432547
Cnemotriccus_fuscatus;R;Cerrado;0,0952380952380952;0,0291687742370595;0,0140178691462906
Cnemotriccus_fuscatus;R;Mata_Atlantica;0,0588235294117647;0;0,0034215413217074
Coccyzus_melacoryphus;M;Mata_Atlantica;0,0588235294117647;0;0,0034215413217074
Coeligena_coeligena;R;Andinean_Forest;0,0714285714285714;0;0,0137313876736511
Coeligena_iris;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Coeligena_torquata;R;Andinean_Forest;0,142857142857143;0;0,0114096554582995
Coereba_flaveola;R;Amazonia;0,0588235294117647;0;NA
Coereba_flaveola;R;Caatinga;0,0833333333333333;0;0,0104735859336567
Coereba_flaveola;R;Cerrado;0,0952380952380952;0;0,0112898003238113
Coereba_flaveola;R;Mata_Atlantica;0,235294117647059;0,144096439837765;0,0149755676558563
Colibri_thalassinus;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Columbina_minuta;R;Caatinga;0,333333333333333;0,129917657822507;0,0276001463644125
Columbina_minuta;R;Cerrado;0,0476190476190476;0;NA
Columbina_minuta;R;Mata_Atlantica;0,0588235294117647;0;0,00292457178189717
Columbina_passerina;R;Amazonia;0,0588235294117647;0;NA
Columbina_passerina;R;Mata_Atlantica;0,176470588235294;0,0531771068048671;0,0097012272858836
Columbina_picui;R;Caatinga;0,166666666666667;0;0,0120953886330836
Columbina_picui;R;Cerrado;0,0476190476190476;0;0,00352098760638089
Columbina_squammata;R;Cerrado;0,0476190476190476;0;0,0036120595024561
Columbina_talpacoti;R;Cerrado;0,0476190476190476;0;0,00616572378297743
Columbina_talpacoti;R;Mata_Atlantica;0,0588235294117647;0;0,00734532629824008
Conopophaga_aurita;R;Amazonia;0,0588235294117647;0;0,0034577199065757
Conopophaga_lineata;R;Mata_Atlantica;0,0588235294117647;0;0,0105399457821538
Conopophaga_melanops;R;Mata_Atlantica;0,0588235294117647;0;NA
Coryphospingus_cucullatus;R;Cerrado;0,0952380952380952;0;0,00616572378297743
Coryphospingus_pileatus;R;Caatinga;0,25;0,151875571820677;0,0276630258144121
Coryphospingus_pileatus;R;Cerrado;0,0952380952380952;0;0,00386337634377152
Cranioleuca_antisiensis;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Creurgops_verticalis;R;Andinean_Forest;0,0714285714285714;0;0,00670753806210536
