species;weighted.betweenness;weighted.closeness;biomes;Host_Status
Adelomyia_melanogenys;0;0,0183393921519348;Andinean_Forest;R
Amblycercus_holosericeus;0;0,0072392434010661;Andinean_Forest;R
Ammodramus_humeralis;0,17455896007428;0,0282498463870049;Caatinga;R
Ammodramus_humeralis;0;0,00970440072775064;Cerrado;R
Anisognathus_somptuosus;0;0,0123224174850544;Andinean_Forest;R
Aratinga_aurea;0;0,00142431408997289;Cerrado;R
Arremon_taciturnus;0;0,00759670739323041;Amazonia;R
Arremon_taciturnus;0;0,00866612153493441;Mata_Atlantica;R
Atlapetes_albinucha;0;0,0183411059180894;Andinean_Forest;R
Attila_spadiceus;0;0,00476024848199399;Amazonia;R
Automolus_infuscatus;0;0,00476024848199399;Amazonia;R
Automolus_rufipileatus;0;0,00581766934899536;Amazonia;R
Basileuterus_coronatus;0,155720085980416;0,0251204032455005;Andinean_Forest;R
Basileuterus_culicivorus;0;0,00763565604631069;Cerrado;R
Basileuterus_culicivorus;0;0,016386187142409;Mata_Atlantica;R
Basileuterus_flaveolus;0;0,0119145778927919;Caatinga;R
Basileuterus_flaveolus;0,098556452998797;0,0139665173191242;Cerrado;R
Basileuterus_trifasciatus;0;0,0072392434010661;Andinean_Forest;R
Basileuterus_tristriatus;0;0,0147527823122563;Andinean_Forest;R
Boissonneaua_matthewsii;0;0,0072392434010661;Andinean_Forest;R
Bucco_tamatia;0;0,00496902421563741;Amazonia;R
Cacicus_solitarius;0;0,00866612153493441;Mata_Atlantica;R
Camptostoma_obsoletum;0;NA;Caatinga;R
Camptostoma_obsoletum;0;0,00410722426834958;Cerrado;R
Campylorhamphus_trochilirostris;0;0,00410722426834958;Cerrado;R
Campylorhynchus_fasciatus;0;0,0072392434010661;Andinean_Forest;R
Capsiempis_flaveola;0;0,00407631676059809;Cerrado;R
Casiornis_fuscus;0;0,030016186212402;Caatinga;PM
Casiornis_fuscus;0;0,00536706612595235;Cerrado;PM
Celeus_flavescens;0;0,00137586434109832;Cerrado;R
Chiroxiphia_pareola;0;0,00704897584079734;Amazonia;R
Chiroxiphia_pareola;0;0,00749572180023034;Mata_Atlantica;R
Chlorophanes_spiza;0;0,0147527823122563;Andinean_Forest;R
