"";"Lineage_Name";"species";"biomes";"n_interactions";"n_local_partners";"n_local_species";"ND_Host_Parasite";"Host_Status"
"1";"AUTPAR01";"Attila_spadiceus";"Amazonia";1;13;11;0,0769230769230769;"R"
"2";"AUTPAR01";"Automolus_infuscatus";"Amazonia";1;13;11;0,0769230769230769;"R"
"3";"AUTPAR01";"Epinecrophylla_haematonota";"Amazonia";1;13;11;0,0769230769230769;"R"
"4";"AUTPAR01";"Galbula_cyanicollis";"Amazonia";1;13;11;0,0769230769230769;"R"
"5";"AUTPAR01";"Gymnopithys_salvini";"Amazonia";1;13;11;0,0769230769230769;"R"
"6";"AUTPAR01";"Paroaria_capitata";"Pantanal";1;13;11;0,0769230769230769;"R"
"7";"AUTPAR01";"Phlegopsis_nigromaculata";"Amazonia";2;13;11;0,153846153846154;"R"
"8";"AUTPAR01";"Rhynchocyclus_olivaceus";"Amazonia";1;13;11;0,0769230769230769;"R"
"9";"AUTPAR01";"Thamnomanes_saturninus";"Amazonia";1;13;11;0,0769230769230769;"R"
"10";"AUTPAR01";"Thamnophilus_amazonicus";"Amazonia";1;13;11;0,0769230769230769;"R"
"11";"AUTPAR01";"Thamnophilus_schistaceus";"Amazonia";2;13;11;0,153846153846154;"R"
"12";"AUTPAR01";"Willisornis_poecilinotus";"Amazonia";1;13;11;0,0769230769230769;"R"
"13";"BAEBIC02";"Anisognathus_somptuosus";"Andinean_Forest";1;22;10;0,0454545454545455;"R"
"14";"BAEBIC02";"Atlapetes_albinucha";"Andinean_Forest";2;22;10;0,0909090909090909;"R"
"15";"BAEBIC02";"Basileuterus_coronatus";"Andinean_Forest";4;22;10;0,181818181818182;"R"
"16";"BAEBIC02";"Diglossa_caerulescens";"Andinean_Forest";1;22;10;0,0454545454545455;"R"
"17";"BAEBIC02";"Myiothlypis_coronatus";"Andinean_Forest";1;22;10;0,0454545454545455;"R"
"18";"BAEBIC02";"Thryothorus_euophrys";"Andinean_Forest";1;22;10;0,0454545454545455;"R"
"19";"BAEBIC02";"Troglodytes_aedon";"Andinean_Forest";5;22;10;0,227272727272727;"M"
"20";"BAEBIC02";"Turdus_leucops";"Andinean_Forest";1;22;10;0,0454545454545455;"R"
"21";"BAEBIC02";"Turdus_nigriceps";"Andinean_Forest";1;22;10;0,0454545454545455;"R"
"22";"BAEBIC02";"Zonotrichia_capensis";"Andinean_Forest";5;22;10;0,227272727272727;"R"
"23";"BAFLA03";"Basileuterus_culicivorus";"Cerrado";2;35;16;0,0571428571428571;"R"
"24";"BAFLA03";"Basileuterus_flaveolus";"Cerrado";5;35;16;0,142857142857143;"R"
"25";"BAFLA03";"Celeus_flavescens";"Cerrado";1;35;16;0,0285714285714286;"R"
"26";"BAFLA03";"Cnemotriccus_fuscatus";"Cerrado";1;35;16;0,0285714285714286;"R"
"27";"BAFLA03";"Dryocopus_lineatus";"Cerrado";1;35;16;0,0285714285714286;"R"
"28";"BAFLA03";"Elaenia_chilensis";"Caatinga";1;35;16;0,0285714285714286;"M"
"29";"BAFLA03";"Elaenia_chilensis";"Mata_Atlantica";1;35;16;0,0285714285714286;"M"
"30";"BAFLA03";"Elaenia_chiriquensis";"Cerrado";1;35;16;0,0285714285714286;"PM"
"31";"BAFLA03";"Euphonia_violacea";"Cerrado";1;35;16;0,0285714285714286;"R"
"32";"BAFLA03";"Hylophilus_amaurocephalus";"Cerrado";1;35;16;0,0285714285714286;"R"
"33";"BAFLA03";"Hylophilus_amaurocephalus";"Mata_Atlantica";1;35;16;0,0285714285714286;"R"
"34";"BAFLA03";"Lanio_pileatus";"Cerrado";11;35;16;0,314285714285714;"R"
"35";"BAFLA03";"Leptopogon_amaurocephalus";"Mata_Atlantica";2;35;16;0,0571428571428571;"R"
"36";"BAFLA03";"Myiarchus_tyrannulus";"Cerrado";3;35;16;0,0857142857142857;"R"
"37";"BAFLA03";"Myiopagis_viridicata";"Cerrado";1;35;16;0,0285714285714286;"PM"
"38";"BAFLA03";"Sakesphorus_cristatus";"Cerrado";1;35;16;0,0285714285714286;"R"
"39";"BAFLA03";"Thlypopsis_sordida";"Cerrado";1;35;16;0,0285714285714286;"R"
"40";"BAFLA03";"Trichothraupis_melanops";"Mata_Atlantica";2;35;16;0,0571428571428571;"R"
"41";"BAFLA03";"Turdus_rufiventris";"Mata_Atlantica";1;35;16;0,0285714285714286;"R"
"42";"BAFLA03";"Turdus_subalaris";"Cerrado";1;35;16;0,0285714285714286;"PM"
"43";"BAFLA03";"Volatinia_jacarina";"Caatinga";1;35;16;0,0285714285714286;"R"
"44";"BAFLA03";"Volatinia_jacarina";"Cerrado";3;35;16;0,0857142857142857;"R"
"45";"BAFLA03";"Zonotrichia_capensis";"Caatinga";1;35;16;0,0285714285714286;"R"
"46";"BAFLA03";"Zonotrichia_capensis";"Cerrado";1;35;16;0,0285714285714286;"R"
"47";"BAFLA04";"Basileuterus_flaveolus";"Cerrado";3;12;7;0,25;"R"
"48";"BAFLA04";"Basileuterus_flaveolus";"Cerrado";3;13;8;0,230769230769231;"R"
"49";"BAFLA04";"Cantorchilus_longirostris";"Mata_Atlantica";1;12;7;0,0833333333333333;"R"
"50";"BAFLA04";"Cantorchilus_longirostris";"Mata_Atlantica";1;13;8;0,0769230769230769;"R"
"51";"BAFLA04";"Coereba_flaveola";"Caatinga";1;12;7;0,0833333333333333;"R"
"52";"BAFLA04";"Coereba_flaveola";"Caatinga";1;13;8;0,0769230769230769;"R"
"53";"BAFLA04";"Coereba_flaveola";"Cerrado";1;12;7;0,0833333333333333;"R"
"54";"BAFLA04";"Coereba_flaveola";"Cerrado";1;13;8;0,0769230769230769;"R"
"55";"BAFLA04";"Coereba_flaveola";"Mata_Atlantica";3;12;7;0,25;"R"
"56";"BAFLA04";"Coereba_flaveola";"Mata_Atlantica";3;13;8;0,230769230769231;"R"
