"";"species";"normalised.degree";"PDI";"species.specificity.index";"effective.partners";"biomes";"Host_Status"
"1";"Adelomyia_melanogenys";0,142857142857143;0,0610486211901306;0,785092470514561;1,71865647652052;"Andinean_Forest";"R"
"2";"Amazilia_alticola";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R"
"3";"Amblycercus_holosericeus";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R"
"4";"Ammodramus_humeralis";0,25;0,184585446587307;0,540725721748901;2,91453433288524;"Caatinga";"R"
"5";"Ammodramus_humeralis";0,238095238095238;0,192374447093117;0,510145292628611;3,98179276869054;"Cerrado";"R"
"6";"Anisognathus_somptuosus";0,0714285714285714;0,0454545454545455;1;1;"Andinean_Forest";"R"
"7";"Aratinga_aurea";0,0476190476190476;0,0303030303030303;1;1;"Cerrado";"R"
"8";"Arremon_taciturnus";0,0588235294117647;0,242512077294686;1;1;"Amazonia";"R"
"9";"Arremon_taciturnus";0,0588235294117647;0,121256038647343;1;1;"Mata_Atlantica";"R"
"10";"Atlapetes_albinucha";0,0714285714285714;0,0909090909090909;1;1;"Andinean_Forest";"R"
"11";"Attila_spadiceus";0,0588235294117647;0,0769230769230769;1;1;"Amazonia";"R"
"12";"Automolus_infuscatus";0,0588235294117647;0,0769230769230769;1;1;"Amazonia";"R"
"13";"Automolus_rufipileatus";0,0588235294117647;0,121256038647343;1;1;"Amazonia";"R"
"14";"Basileuterus_coronatus";0,142857142857143;0,175901022054868;0,74164447210877;1,83777736178941;"Andinean_Forest";"R"
"15";"Basileuterus_culicivorus";0,0952380952380952;0,202589763177998;0,801535700551644;1,68854926444048;"Cerrado";"R"
"16";"Basileuterus_culicivorus";0,0588235294117647;0,410893812070283;1;1;"Mata_Atlantica";"R"
"17";"Basileuterus_flaveolus";0,0833333333333333;0,121256038647343;1;1;"Caatinga";"R"
"18";"Basileuterus_flaveolus";0,238095238095238;0,441789264479482;0,497891830916327;4,06152066696528;"Cerrado";"R"
"19";"Basileuterus_trifasciatus";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R"
"20";"Basileuterus_tristriatus";0,0714285714285714;0,0769230769230769;1;1;"Andinean_Forest";"R"
"21";"Boissonneaua_matthewsii";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R"
"22";"Buarremon_torquatus";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R"
"23";"Bucco_tamatia";0,0588235294117647;0,0909090909090909;1;1;"Amazonia";"R"
"24";"Cacicus_solitarius";0,0588235294117647;0,121256038647343;1;1;"Mata_Atlantica";"R"
"25";"Camptostoma_obsoletum";0,0833333333333333;0,0909090909090909;1;1;"Caatinga";"R"
"26";"Camptostoma_obsoletum";0,0476190476190476;0,0982142857142857;1;1;"Cerrado";"R"
"27";"Campylorhamphus_trochilirostris";0,0476190476190476;0,0982142857142857;1;1;"Cerrado";"R"
"28";"Campylorhynchus_fasciatus";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R"
"29";"Cantorchilus_longirostris";0,0476190476190476;0,121256038647343;1;1;"Cerrado";"R"
"30";"Cantorchilus_longirostris";0,117647058823529;0,159465271015904;0,925109219028256;1,29933377622436;"Mata_Atlantica";"R"
"31";"Capsiempis_flaveola";0,0476190476190476;0,166666666666667;1;1;"Cerrado";"R"
"32";"Casiornis_fuscus";0,0833333333333333;0,410893812070283;1;1;"Caatinga";"PM"
"33";"Casiornis_fuscus";0,0476190476190476;0,333333333333333;1;1;"Cerrado";"PM"
"34";"Celeus_flavescens";0,0476190476190476;0,0285714285714286;1;1;"Cerrado";"R"
"35";"Chiroxiphia_pareola";0,0588235294117647;0,2;1;1;"Amazonia";"R"
"36";"Chiroxiphia_pareola";0,0588235294117647;0,0982142857142857;1;1;"Mata_Atlantica";"R"
"37";"Chlorophanes_spiza";0,0714285714285714;0,0769230769230769;1;1;"Andinean_Forest";"R"
"38";"Cinnycerthia_unirufa";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R"
"39";"Cnemotriccus_fuscatus";0,0588235294117647;0,205446906035141;1;1;"Amazonia";"R"
