rowname;AUTPAR01;BAEBIC02;BAFLA03;BAFLA04;COLIN05;COLPAS03;COPIC01;CORPIL01;CYCYA01;CYPHIR03;DENCER02;DENPET03;ELALB01;EMPALN02;GALLUS01;GEOTRI02;GLYSPI06;LEPCOR03;LEPCOR04;MYRMAX01;MYRMYO01;MYSWA01;NEOFAS01;NEOFAS03;PADOM09;PADOM11;PHPAT01;PYLEU01;SocH3;TACRUB01;TANIG01;TARUF02;THACAE01;THAMAE01;THAMB02;THASAT06;TROAED15;TROAED20;TULEU01;TUMIG03_
Columbina_minuta;0;0;0;0;0;3;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;3;0;201;0;0;0;0;0;0;0;0;0;0;0
Zonotrichia_capensis;0;20;8;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;20;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Troglodytes_aedon;0;15;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;3;15;0;0
Coereba_flaveola;0;0;0;40;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;16;8;0;0;4;0;0;28;0;0;0;0;0;0;0;0
Cnemotriccus_fuscatus;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Elaenia_cristata;0;0;0;4;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;2;56;0;0;0;2;0;0;16;0;0;0;0;0;0;0;0
Myiarchus_swainsoni;0;0;0;0;0;0;0;0;0;0;0;18;3;0;0;0;0;0;0;0;0;6;0;0;60;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Tachyphonus_rufus;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;3;0;0;54;0;0;0;0;0;0;0;0
Neothraupis_fasciata;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;19;26;24;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Passer_domesticus;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;64;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Turdus_amaurochalinus;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;3;27
Turdus_leucomelas;0;0;0;8;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;16;4;0;0;0;0;0;2;0;0;0;0;0;0;18;0
Basileuterus_flaveolus;0;0;10;12;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0
Volatinia_jacarina;0;0;8;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;2;8;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Elaenia_albiceps;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;2;0;0;0;0;0;0;0;0;24;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0
Thamnophilus_ambiguus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;0
Coryphospingus_pileatus;0;0;0;8;0;0;0;22;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ammodramus_humeralis;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;2;2;16;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
Trichothraupis_melanops;0;0;4;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;16;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myiarchus_tyrannulus;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;12;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0
Tangara_cayana;0;0;0;6;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0
Lepidothrix_coronata;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;8;12;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0
Pitangus_sulphuratus;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;24;6;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Columbina_passerina;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;4;0;0;0;0;0;0;0;0
Ramphocelus_carbo;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Turdus_rufiventris;0;0;3;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Tyrannus_melancholicus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
Basileuterus_culicivorus;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cypsnagra_hirundinacea;0;0;0;0;0;0;0;0;0;11;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diglossa_cyanea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0
Casiornis_fuscus;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pachyramphus_polychopterus;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Phaeomyias_murina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
Columbina_talpacoti;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arremon_taciturnus;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Synallaxis_frontalis;0;0;0;0;0;0;0;0;0;0;0;6;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myiopagis_viridicata;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lathrotriccus_euleri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
