"";"x";"y";"Temp";"Prec"
"1";-43,59298;-14,50911;241;817
"2";-47,552045;-15,5211053;214;1426
"3";-43,59298;-14,50911;241;817
"4";-47,552045;-15,5211053;214;1426
"5";-43,59298;-14,50911;241;817
"6";-47,552045;-15,5211053;214;1426
"7";-43,59298;-14,50911;241;817
"8";-47,552045;-15,5211053;214;1426
"9";-43,59298;-14,50911;241;817
"10";-47,552045;-15,5211053;214;1426
"11";-43,59298;-14,50911;241;817
"12";-47,552045;-15,5211053;214;1426
"13";-43,59298;-14,50911;241;817
"14";-47,552045;-15,5211053;214;1426
"15";-43,59298;-14,50911;241;817
"16";-47,552045;-15,5211053;214;1426
"17";-43,59298;-14,50911;241;817
"18";-47,552045;-15,5211053;214;1426
"19";-43,59298;-14,50911;241;817
"20";-47,552045;-15,5211053;214;1426
"21";-43,59298;-14,50911;241;817
"22";-47,552045;-15,5211053;214;1426
"23";-43,59298;-14,50911;241;817
"24";-47,552045;-15,5211053;214;1426
"25";-43,59298;-14,50911;241;817
"26";-47,552045;-15,5211053;214;1426
"27";-43,59298;-14,50911;241;817
"28";-47,552045;-15,5211053;214;1426
"29";-43,59298;-14,50911;241;817
"30";-47,552045;-15,5211053;214;1426
"31";-43,59298;-14,50911;241;817
"32";-47,552045;-15,5211053;214;1426
"33";-43,59298;-14,50911;241;817
"34";-47,552045;-15,5211053;214;1426
"35";-43,59298;-14,50911;241;817
"36";-47,552045;-15,5211053;214;1426
"37";-43,59298;-14,50911;241;817
"38";-47,552045;-15,5211053;214;1426
"39";-43,59298;-14,50911;241;817
"40";-47,552045;-15,5211053;214;1426
"41";-43,59298;-14,50911;241;817
"42";-47,552045;-15,5211053;214;1426
"43";-43,59298;-14,50911;241;817
"44";-47,552045;-15,5211053;214;1426
"45";-43,59298;-14,50911;241;817
"46";-47,552045;-15,5211053;214;1426
"47";-43,59298;-14,50911;241;817
"48";-47,552045;-15,5211053;214;1426
"49";-43,59298;-14,50911;241;817
"50";-47,552045;-15,5211053;214;1426
"51";-43,59298;-14,50911;241;817
"52";-47,552045;-15,5211053;214;1426
"53";-43,59298;-14,50911;241;817
"54";-47,552045;-15,5211053;214;1426
"55";-43,59298;-14,50911;241;817
"56";-47,552045;-15,5211053;214;1426
"57";-43,59298;-14,50911;241;817
"58";-47,552045;-15,5211053;214;1426
"59";-43,59298;-14,50911;241;817
"60";-47,552045;-15,5211053;214;1426
"61";-43,59298;-14,50911;241;817
"62";-47,552045;-15,5211053;214;1426
"63";-43,59298;-14,50911;241;817
"64";-47,552045;-15,5211053;214;1426
"65";-43,59298;-14,50911;241;817
"66";-47,552045;-15,5211053;214;1426
"67";-43,59298;-14,50911;241;817
"68";-47,552045;-15,5211053;214;1426
"69";-43,59298;-14,50911;241;817
"70";-47,552045;-15,5211053;214;1426
"71";-43,59298;-14,50911;241;817
"72";-47,552045;-15,5211053;214;1426
"73";-43,59298;-14,50911;241;817
"74";-47,552045;-15,5211053;214;1426
"75";-43,59298;-14,50911;241;817
"76";-47,552045;-15,5211053;214;1426
"77";-43,59298;-14,50911;241;817
"78";-47,552045;-15,5211053;214;1426
"79";-43,59298;-14,50911;241;817
"80";-47,552045;-15,5211053;214;1426
"81";-43,59298;-14,50911;241;817
"82";-47,552045;-15,5211053;214;1426
"83";-43,59298;-14,50911;241;817
"84";-47,552045;-15,5211053;214;1426
"85";-43,59298;-14,50911;241;817
"86";-47,552045;-15,5211053;214;1426
"87";-43,59298;-14,50911;241;817
"88";-47,552045;-15,5211053;214;1426
"89";-43,59298;-14,50911;241;817
"90";-47,552045;-15,5211053;214;1426
"91";-43,59298;-14,50911;241;817
"92";-47,552045;-15,5211053;214;1426
"93";-43,59298;-14,50911;241;817
"94";-47,552045;-15,5211053;214;1426
"95";-43,59298;-14,50911;241;817
"96";-47,552045;-15,5211053;214;1426
"97";-43,59298;-14,50911;241;817
"98";-47,552045;-15,5211053;214;1426
"99";-43,59298;-14,50911;241;817
"100";-47,552045;-15,5211053;214;1426
"101";-43,59298;-14,50911;241;817
"102";-47,552045;-15,5211053;214;1426
"103";-43,59298;-14,50911;241;817
"104";-47,552045;-15,5211053;214;1426
"105";-43,59298;-14,50911;241;817
"106";-47,552045;-15,5211053;214;1426
"107";-43,59298;-14,50911;241;817
"108";-47,552045;-15,5211053;214;1426
"109";-43,59298;-14,50911;241;817
"110";-47,552045;-15,5211053;214;1426
"111";-43,59298;-14,50911;241;817
"112";-47,552045;-15,5211053;214;1426
"113";-43,59298;-14,50911;241;817
"114";-47,552045;-15,5211053;214;1426
"115";-43,59298;-14,50911;241;817
"116";-47,552045;-15,5211053;214;1426
"117";-43,59298;-14,50911;241;817
"118";-47,552045;-15,5211053;214;1426
"119";-43,59298;-14,50911;241;817
"120";-47,552045;-15,5211053;214;1426
"121";-43,59298;-14,50911;241;817
"122";-47,552045;-15,5211053;214;1426
"123";-43,59298;-14,50911;241;817
"124";-47,552045;-15,5211053;214;1426
"125";-43,59298;-14,50911;241;817
"126";-47,552045;-15,5211053;214;1426
"127";-43,59298;-14,50911;241;817
"128";-47,552045;-15,5211053;214;1426
"129";-43,59298;-14,50911;241;817
"130";-47,552045;-15,5211053;214;1426
"131";-43,59298;-14,50911;241;817
"132";-47,552045;-15,5211053;214;1426
"133";-43,59298;-14,50911;241;817
"134";-47,552045;-15,5211053;214;1426
"135";-43,59298;-14,50911;241;817
"136";-47,552045;-15,5211053;214;1426
"137";-43,59298;-14,50911;241;817
"138";-47,552045;-15,5211053;214;1426
"139";-43,59298;-14,50911;241;817
"140";-47,552045;-15,5211053;214;1426
"141";-43,59298;-14,50911;241;817
"142";-47,552045;-15,5211053;214;1426
"143";-43,59298;-14,50911;241;817
"144";-47,552045;-15,5211053;214;1426
"145";-43,59298;-14,50911;241;817
"146";-47,552045;-15,5211053;214;1426
"147";-43,59298;-14,50911;241;817
"148";-47,552045;-15,5211053;214;1426
"149";-43,59298;-14,50911;241;817
"150";-47,552045;-15,5211053;214;1426
"151";-43,59298;-14,50911;241;817
"152";-47,552045;-15,5211053;214;1426
"153";-43,59298;-14,50911;241;817
"154";-47,552045;-15,5211053;214;1426
"155";-43,59298;-14,50911;241;817
"156";-47,552045;-15,5211053;214;1426
"157";-43,59298;-14,50911;241;817
"158";-47,552045;-15,5211053;214;1426
"159";-43,59298;-14,50911;241;817
"160";-47,552045;-15,5211053;214;1426
"161";-43,59298;-14,50911;241;817
"162";-47,552045;-15,5211053;214;1426
"163";-43,59298;-14,50911;241;817
"164";-47,552045;-15,5211053;214;1426
"165";-43,59298;-14,50911;241;817
"166";-47,552045;-15,5211053;214;1426
"167";-43,59298;-14,50911;241;817
"168";-47,552045;-15,5211053;214;1426
"169";-43,59298;-14,50911;241;817
"170";-47,552045;-15,5211053;214;1426
"171";-43,59298;-14,50911;241;817
"172";-47,552045;-15,5211053;214;1426
"173";-43,59298;-14,50911;241;817
"174";-47,552045;-15,5211053;214;1426
"175";-43,59298;-14,50911;241;817
"176";-47,552045;-15,5211053;214;1426
"177";-43,59298;-14,50911;241;817
"178";-47,552045;-15,5211053;214;1426
"179";-43,59298;-14,50911;241;817
"180";-47,552045;-15,5211053;214;1426
"181";-43,59298;-14,50911;241;817
"182";-47,552045;-15,5211053;214;1426
"183";-43,59298;-14,50911;241;817
"184";-47,552045;-15,5211053;214;1426
"185";-43,59298;-14,50911;241;817
"186";-47,552045;-15,5211053;214;1426
"187";-43,59298;-14,50911;241;817
"188";-47,552045;-15,5211053;214;1426
"189";-43,59298;-14,50911;241;817
"190";-47,552045;-15,5211053;214;1426
"191";-43,59298;-14,50911;241;817
"192";-47,552045;-15,5211053;214;1426
"193";-43,59298;-14,50911;241;817
"194";-47,552045;-15,5211053;214;1426
"195";-43,59298;-14,50911;241;817
"196";-47,552045;-15,5211053;214;1426
"197";-43,59298;-14,50911;241;817
"198";-47,552045;-15,5211053;214;1426
"199";-43,59298;-14,50911;241;817
"200";-47,552045;-15,5211053;214;1426
"201";-43,59298;-14,50911;241;817
"202";-47,552045;-15,5211053;214;1426
"203";-43,59298;-14,50911;241;817
"204";-47,552045;-15,5211053;214;1426
"205";-43,59298;-14,50911;241;817
"206";-47,552045;-15,5211053;214;1426
"207";-43,59298;-14,50911;241;817
"208";-47,552045;-15,5211053;214;1426
"209";-43,59298;-14,50911;241;817
"210";-47,552045;-15,5211053;214;1426
"211";-43,59298;-14,50911;241;817
"212";-47,552045;-15,5211053;214;1426
"213";-43,59298;-14,50911;241;817
"214";-47,552045;-15,5211053;214;1426
"215";-43,59298;-14,50911;241;817
"216";-47,552045;-15,5211053;214;1426
"217";-43,59298;-14,50911;241;817
"218";-47,552045;-15,5211053;214;1426
"219";-43,59298;-14,50911;241;817
"220";-47,552045;-15,5211053;214;1426
"221";-43,59298;-14,50911;241;817
"222";-47,552045;-15,5211053;214;1426
"223";-43,59298;-14,50911;241;817
"224";-47,552045;-15,5211053;214;1426
"225";-43,59298;-14,50911;241;817
"226";-47,552045;-15,5211053;214;1426
"227";-43,59298;-14,50911;241;817
"228";-47,552045;-15,5211053;214;1426
"229";-43,59298;-14,50911;241;817
"230";-47,552045;-15,5211053;214;1426
"231";-43,59298;-14,50911;241;817
"232";-47,552045;-15,5211053;214;1426
"233";-43,59298;-14,50911;241;817
"234";-47,552045;-15,5211053;214;1426
"235";-43,59298;-14,50911;241;817
"236";-47,552045;-15,5211053;214;1426
"237";-43,59298;-14,50911;241;817
"238";-47,552045;-15,5211053;214;1426
"239";-43,59298;-14,50911;241;817
"240";-47,552045;-15,5211053;214;1426
"241";-43,59298;-14,50911;241;817
"242";-47,552045;-15,5211053;214;1426
"243";-43,59298;-14,50911;241;817
"244";-47,552045;-15,5211053;214;1426
"245";-43,59298;-14,50911;241;817
"246";-47,552045;-15,5211053;214;1426
"247";-43,59298;-14,50911;241;817
"248";-47,552045;-15,5211053;214;1426
"249";-43,59298;-14,50911;241;817
"250";-47,552045;-15,5211053;214;1426
"251";-43,59298;-14,50911;241;817
"252";-47,552045;-15,5211053;214;1426
"253";-43,59298;-14,50911;241;817
"254";-47,552045;-15,5211053;214;1426
"255";-43,59298;-14,50911;241;817
"256";-47,552045;-15,5211053;214;1426
"257";-43,59298;-14,50911;241;817
"258";-47,552045;-15,5211053;214;1426
"259";-43,59298;-14,50911;241;817
"260";-47,552045;-15,5211053;214;1426
"261";-43,59298;-14,50911;241;817
